region,fluggebiet,site_name,latitude,longitude,elevation_m,wind_N,wind_NE,wind_E,wind_SE,wind_S,wind_SW,wind_W,wind_NW,slope_azimuth,slope_angle,kritischer_foehn,terrain_type,analyse_region,bemerkungen_flug,bemerkung_flug_effekt,bemerkungen_sicherheit,bemerkung_sicherheit_effekt,bemerkungen_sonstiges
Wallis,Galfera,Fiesch -Kuehboden (Heimat- Galfera),46.4048,8.09598,2163,0,0,1,1,1,1,1,0,,,Beide,hochalpin,Oberwallis / Goms,"Startplatz 'Heimat' vorwiegend morgens, 'Galvera' nachmittags nutzbar.","Kein Rating-Abzug — Tageszeit bestimmt den Startplatz: morgens 'Heimat', nachmittags 'Galvera'; best_window frei über den Tag legen.",,,HG-Rampe vor der Seilbahnstation.
Graubünden,Fanas,Fanas -Hörnli -Eggli,47.0005,9.684,1788,0,0,1,1,1,1,1,0,,,Beide,alpen,Prättigau - Davos,Startplatz 'Plandadein' wird erst am späten Nachmittag thermisch aktiv.,Kein Einfluss aufs Tages-Rating — betrifft nur den Alternativstart Plandadein (erst ab spätem Nachmittag aktiv); Hauptstarts ganztags nutzbar.,'Plandadein' nur ausserhalb der Vegetationsperiode nutzbar.,SPERRE (Saison): Alternativstart Plandadein während der Vegetationsperiode nicht nutzbar → in dieser Zeit als Startoption ausschliessen; Hauptstarts unberührt.,"Hauptstartplätze 'Eggli' (1650 m) und 'Hörnli' (1800 m), beide einfach und gross. Alternative 'Mast 4' (bevorzugt von HG, mit Auto erreichbar)."
Solothurn,Obere Wengi,Obere Wengi,47.326,7.62779,947,0,0,1,1,1,1,0,0,,,Süd,jura,Jura Zentral,,,,,"Grosse, leicht geneigte Wiese, einfacher Start. Thermik 100 m links vom Start. An guten Tagen stark frequentiert. Startplatz gehört einem Bauern mit Restaurant; Konsumation anstelle Startgebühr erwartet."
Berneroberland,Grindelwald,Grindelwald - First,46.6571,8.05527,2111,1,0,1,0,0,1,1,1,,,Beide,alpen,Berner Voralpen,,,,,"Grosser Startplatz für alle Niveaus, Gondelzugang von Grindelwald, Toplandung möglich."
Graubünden,Plaun Tir,Disentis: Caischavedra - Lai Alv - Plaun Tir,46.7062,8.79983,2112,0,0,0,0,0,1,0,0,,,Beide,hochalpin,Surselva,,,,,
Wallis,Ruinette,Verbier - Ruinettes _ Fontanets_Attelas,46.0904,7.25185,2169,0,0,0,0,1,1,1,0,,,Beide,hochalpin,Unterwallis,,,Startplatz 'Attelas' klein und steil.,"STATISCH: Attelas klein und steil → erhöhtes Startrisiko; als caution vermerken, Hauptstarts unberührt.",Mehrere Startplätze: Ruinettes direkt aus der Gondel; Fontanets 15 Min. Fussweg (SW/W); Attelas selten genutzt.
Waadt,Mauborget,Mauborget,46.8544,6.612,1173,0,0,1,1,1,1,0,0,,,Süd,jura,Jura West,,,,,
Zürich,Uetliberg,Baldern (Uetliberg),47.3224,8.5006,733,0,1,1,1,0,0,0,0,225,30,Süd,mittelland,Mittelland Ost,Nur fliegbar bei östlichem Wind (Bise) 15 km/h - 25km/h gut fliegbar.,"GRADUIERTES GATE: Optimum 15-25 km/h Ostwind (Bise) = gut fliegbar (Soaring). Unter 15 km/h → Rating-Cap 2-3, unter 10 km/h → Rating 1 (egal wie gut die Thermik). Über 25 km/h → graduell schlechter (zunehmend anspruchsvoll), bis der Wind zu stark wird → Safety übernimmt (nicht fliegbar).","Kleine Lichtung auf einem Kamm, nur Platz für einen Gleitschirm.","STATISCH: sehr enger Startplatz (nur ein Schirm) → erhöhter Anspruch beim Aufziehen/Start; caution_note, kein Wetter-Trigger.",
Zürich,Oberrieden,Oberrieden,47.2672,8.57511,569,0,1,1,1,0,0,0,0,,,Süd,mittelland,Mittelland Ost,Nur bei Bise (Ostwind) ab 15-25 km/h gut fliegbar.,"GRADUIERTES GATE: Optimum 15-25 km/h Bise = gut fliegbar (Soaring), fix über 15 km/h nötig. Unter 15 km/h → Rating-Cap 2, unter 10 km/h → Rating 1 (egal wie gut die Thermik). Über 25 km/h → graduell schlechter, bis der Wind zu stark wird → Safety übernimmt (nicht fliegbar).",,,"Startplatz: grosses, leichtes Feld oberhalb einer kleinen Strasse."
Zentralschweiz,Engelberg,Engelberg - Brunni - Schonegg,46.8382,8.41241,1797,0,0,0,1,1,1,1,0,,,Süd,alpen,Zentralschweizer Voralpen,,,,,"Grosses, gut geneigtes Feld mit Windsack. Fortgeschrittene starten im steileren Teil früher. Thermik meist über den Bäumen links vom Start. Zwei Startplätze: Brunnihütte (1860 m) und Schonegg (2080 m)."
